Epoch: 1, Train Loss: 2.7136443655889946, Val Loss: 2.1625369539627664, Took 0:07:25.737533, ETA: 1:06:51.637797

Epoch: 2, Train Loss: 2.0348337184717726, Val Loss: 1.9301092239526603, Took 0:07:29.736347, ETA: 0:59:57.890776

Epoch: 3, Train Loss: 1.8024394787432299, Val Loss: 1.7855161066238696, Took 0:07:29.177638, ETA: 0:52:24.243466

Epoch: 4, Train Loss: 1.6565894077264187, Val Loss: 1.6825570363264817, Took 0:07:21.756147, ETA: 0:44:10.536882

Epoch: 5, Train Loss: 1.552708602667878, Val Loss: 1.5960573934591733, Took 0:07:31.418276, ETA: 0:37:37.091380

Epoch: 6, Train Loss: 1.4760229710345616, Val Loss: 1.5633236839221074, Took 0:07:35.264811, ETA: 0:30:21.059244

Epoch: 7, Train Loss: 1.4139716016888106, Val Loss: 1.5521862919513996, Took 0:07:34.217506, ETA: 0:22:42.652518

Epoch: 8, Train Loss: 1.3624744131329745, Val Loss: 1.5231147367220659, Took 0:07:27.640911, ETA: 0:14:55.281822

Epoch: 9, Train Loss: 1.3217599595565142, Val Loss: 1.519699536378567, Took 0:07:23.558975, ETA: 0:07:23.558975

Epoch: 10, Train Loss: 1.2805602940878642, Val Loss: 1.52121007167376, Took 0:07:44.005054, ETA: 0:00:00

Test Performance: Loss: 1.5220929100158367, Bleu1: 6.663205233087262, Bleu4: 0.6184669771704991
