Epoch: 1, Train Loss: 2.490818210630458, Val Loss: 2.0383782826937162, Took 0:03:40.962031, ETA: 0:33:08.658279

Epoch: 2, Train Loss: 1.922638696253044, Val Loss: 1.8565860757460961, Took 0:03:44.541444, ETA: 0:29:56.331552

Epoch: 3, Train Loss: 1.7383871990723672, Val Loss: 1.7281969510591948, Took 0:03:51.360845, ETA: 0:26:59.525915

Epoch: 4, Train Loss: 1.5963599903900736, Val Loss: 1.629367566567201, Took 0:03:49.361686, ETA: 0:22:56.170116

Epoch: 5, Train Loss: 1.5044378023290839, Val Loss: 1.5638749755345858, Took 0:03:50.965811, ETA: 0:19:14.829055

Epoch: 6, Train Loss: 1.4300141219417424, Val Loss: 1.5429668784141541, Took 0:03:52.816350, ETA: 0:15:31.265400

Epoch: 7, Train Loss: 1.3706300108729514, Val Loss: 1.5385826294238751, Took 0:03:51.969619, ETA: 0:11:35.908857

Epoch: 8, Train Loss: 1.3189216779536956, Val Loss: 1.5148004816128657, Took 0:03:51.330145, ETA: 0:07:42.660290

Epoch: 9, Train Loss: 1.2692109199040948, Val Loss: 1.520118833046693, Took 0:03:51.940229, ETA: 0:03:51.940229

Epoch: 10, Train Loss: 1.2164011472796166, Val Loss: 1.4961060583591461, Took 0:03:52.903072, ETA: 0:00:00

